shipment_id,shipment_date_key,product_id,origin_id,destination_id,equipment_id,carrier_id,weight,weight_uom,planned_delivery_date,actual_delivery_date,transit_time
51,20250827,11,300005,600006,7,2,554.5,KG,2025-09-01,2025-09-01,5
52,20250723,6,300005,600002,7,6,4520.9,KG,2025-07-28,2025-07-27,5
53,20250924,5,300006,600007,7,2,791.1,KG,2025-09-28,2025-10-01,4
54,20250220,9,300004,600008,2,3,12913.6,KG,2025-02-26,2025-02-25,6
55,20251229,6,300004,600005,2,4,4792.5,KG,2026-01-03,2026-01-03,5
56,20250110,11,203,600010,1,2,1415.5,KG,2025-01-14,2025-01-14,4
57,20250901,5,300010,202,8,1,2042.3,KG,2025-09-09,2025-09-13,8
58,20251219,1,300001,600007,7,2,11571.6,KG,2025-12-23,2025-12-23,4
59,20251125,10,104,600008,8,1,4993.6,KG,2025-12-06,2025-12-06,11
60,20250311,4,104,205,1,7,3206.7,KG,2025-03-16,2025-03-16,5
61,20250401,4,102,103,7,2,4980.7,KG,2025-04-06,2025-04-03,5
62,20250325,12,102,600004,6,7,343.6,KG,2025-04-28,2025-04-27,34
63,20250228,4,201,103,4,7,3887.9,KG,2025-03-19,2025-03-16,19
64,20250902,2,205,600004,3,7,3124.3,KG,2025-09-06,2025-09-06,4
65,20251224,11,204,600006,4,7,524.2,KG,2026-01-20,2026-01-27,27
66,20251225,7,102,600005,1,4,7477.8,KG,2025-12-28,2025-12-27,3
67,20250428,5,300005,600001,6,1,3524.7,KG,2025-05-17,2025-05-14,19
68,20251121,11,300006,600005,7,6,1243.0,KG,2025-11-26,2025-11-24,5
69,20251030,10,300005,104,4,5,481.6,KG,2025-11-22,2025-11-19,23
70,20250318,10,104,600003,4,7,3776.9,KG,2025-04-19,2025-04-26,32
71,20251223,7,205,201,4,7,19648.2,KG,2026-01-08,2026-01-05,16
72,20250109,1,105,102,8,8,19401.7,KG,2025-01-15,2025-01-13,6
73,20250627,5,300002,202,7,2,3264.2,KG,2025-06-28,2025-06-28,1
74,20250522,4,205,202,8,8,1377.8,KG,2025-05-29,2025-05-27,7
75,20251006,2,300005,104,6,7,20180.9,KG,2025-11-05,2025-11-05,30
76,20251105,5,300009,103,6,1,3332.5,KG,2025-12-04,2025-12-03,29
77,20251203,6,300005,600004,6,1,2939.0,KG,2026-01-02,2025-12-31,30
78,20250521,11,105,102,4,7,1428.7,KG,2025-06-12,2025-06-17,22
79,20250804,11,300006,600008,7,2,759.8,KG,2025-08-08,2025-08-05,4
80,20250220,8,300003,600010,6,5,2874.0,KG,2025-03-21,2025-03-22,29
81,20250128,3,300007,201,8,8,9699.8,KG,2025-02-04,2025-02-04,7
82,20251205,2,300002,600004,7,6,14863.2,KG,2025-12-08,2025-12-07,3
83,20250714,4,300010,600005,2,3,3256.4,KG,2025-07-20,2025-07-26,6
84,20250411,4,202,205,8,1,130.5,KG,2025-04-23,2025-04-21,12
85,20251009,3,300006,104,4,1,9555.1,KG,2025-11-08,2025-11-05,30
86,20250318,10,104,600006,7,2,4223.4,KG,2025-03-22,2025-03-21,4
87,20250213,1,300008,600006,8,1,14819.0,KG,2025-02-18,2025-02-18,5
88,20251111,7,300001,204,5,7,5818.1,KG,2025-12-09,2025-12-11,28
89,20250121,9,103,600007,3,3,11654.0,KG,2025-01-25,2025-01-25,4
90,20250723,9,101,600010,6,1,8049.6,KG,2025-08-19,2025-08-17,27
91,20251231,8,300003,101,8,1,6024.9,KG,2026-01-05,2026-01-03,5
92,20251208,4,300004,201,6,5,3727.0,KG,2025-12-28,2026-01-03,20
93,20250820,2,300007,105,6,7,11395.3,KG,2025-09-08,2025-09-06,19
94,20250810,9,300006,600001,7,6,1934.2,KG,2025-08-12,2025-08-11,2
95,20250102,8,203,105,7,2,9245.7,KG,2025-01-05,2025-01-05,3
96,20250318,4,300001,600006,7,6,2694.5,KG,2025-03-19,2025-03-17,1
97,20251016,10,300005,600001,4,7,4327.5,KG,2025-11-15,2025-11-24,30
98,20250416,6,102,600005,3,2,3704.0,KG,2025-04-23,2025-04-21,7
99,20251118,8,102,600009,4,7,668.9,KG,2025-12-06,2025-12-05,18
100,20250108,4,104,102,6,7,4563.0,KG,2025-02-10,2025-02-08,33
101,20251024,11,300003,600005,7,2,325.4,LBS,2025-10-25,2025-10-22,1
102,20250322,4,104,201,4,7,278.5,KG,2025-04-08,2025-04-05,17
103,20250714,9,101,600003,5,7,4906.7,KG,2025-07-30,2025-07-27,16
104,20251214,12,204,600010,8,1,735.6,KG,2025-12-20,2025-12-20,6
105,20250730,4,300001,600006,1,1,4944.7,KG,2025-08-04,2025-08-02,5
106,20250329,1,300004,205,8,1,9129.2,KG,2025-04-08,2025-04-05,10
107,20250327,10,204,600001,4,1,3934.4,KG,2025-04-30,2025-05-02,34
108,20250114,6,300003,600004,4,5,3309.2,KG,2025-02-08,2025-02-08,25
109,20250208,6,300004,600003,7,2,4257.0,KG,2025-02-11,2025-02-10,3
110,20250604,10,104,102,8,1,442.6,KG,2025-06-09,2025-06-07,5
111,20250206,11,300007,600009,6,1,868.9,KG,2025-02-23,2025-03-01,17
112,20250314,9,202,105,6,7,12476.5,KG,2025-04-17,2025-04-16,34
113,20250804,11,102,202,6,1,1608.6,KG,2025-08-30,2025-08-29,26
114,20250303,7,300007,201,5,7,15219.2,KG,2025-03-28,2025-03-26,25
115,20251115,4,300010,600006,5,7,2498.4,KG,2025-12-17,2025-12-15,32
116,20250326,11,105,102,5,5,531.3,KG,2025-04-29,2025-04-27,34
117,20250526,3,300002,600004,5,7,8122.9,KG,2025-06-20,2025-06-20,25
118,20251230,4,104,600009,8,8,276.5,KG,2026-01-07,2026-01-04,8
119,20250303,9,204,600002,6,7,11302.2,KG,2025-03-29,2025-03-27,26
120,20250630,9,300005,202,7,6,2068.7,KG,2025-07-02,2025-07-05,2
121,20250501,6,202,203,8,1,125.9,KG,2025-05-09,2025-05-16,8
122,20250221,6,203,204,6,7,1768.0,KG,2025-03-12,2025-03-11,19
123,20250312,6,102,600003,6,1,4879.9,KG,2025-04-03,2025-04-02,22
124,20251128,6,300010,204,8,8,4961.6,KG,2025-12-03,2025-12-02,5
125,20250228,12,203,600010,8,8,2254.6,KG,2025-03-08,2025-03-05,8
126,20250801,3,300007,600002,8,8,4056.3,KG,2025-08-10,2025-08-10,9
127,20250124,5,300004,600001,2,7,222.4,KG,2025-01-29,2025-01-28,5
128,20250407,7,300007,600007,7,2,23262.2,KG,2025-04-10,2025-04-07,3
129,20250314,5,300005,202,7,6,2413.4,KG,2025-03-16,2025-03-14,2
130,20251112,10,105,101,4,7,3797.0,KG,2025-12-03,2025-12-03,21
131,20250123,9,300010,600005,3,7,14203.0,KG,2025-01-30,2025-01-30,7
132,20250805,9,300005,204,8,8,3803.4,KG,2025-08-13,2025-08-12,8
133,20250905,9,205,600004,2,7,6521.2,KG,2025-09-07,2025-09-21,2
134,20250517,5,103,600003,8,1,2281.2,KG,2025-05-25,2025-05-24,8
135,20251208,5,104,600004,1,4,1885.6,KG,2025-12-14,2025-12-14,6
136,20250324,3,104,103,5,5,8239.3,KG,2025-04-12,2025-04-19,19
137,20250729,1,104,600001,5,1,2685.8,KG,2025-08-30,2025-08-27,32
138,20250221,2,300001,600005,4,1,7521.0,KG,2025-03-26,2025-03-24,33
139,20250408,12,104,600005,6,5,420.6,KG,2025-05-08,2025-05-07,30
140,20250623,12,300005,103,3,1,1990.6,KG,2025-06-27,2025-06-27,4
141,20250725,6,300004,104,4,7,3112.5,KG,2025-08-12,2025-08-12,18
142,20250909,9,300001,102,6,7,17157.3,KG,2025-09-29,2025-09-26,20
143,20250820,11,104,600001,4,7,1037.8,KG,2025-09-08,2025-09-05,19
144,20250406,6,300008,103,8,8,3292.3,KG,2025-04-16,2025-04-15,10
145,20250107,11,300003,600004,7,2,1338.2,KG,2025-01-09,2025-01-06,2
146,20250622,4,205,600008,7,6,2140.1,KG,2025-06-23,2025-06-20,1
147,20250106,8,205,600002,6,1,2959.4,KG,2025-02-03,2025-02-01,28
148,20250928,4,300007,201,7,6,605.1,KG,2025-09-30,2025-09-29,2
149,20250923,7,203,600008,3,2,20940.7,KG,2025-09-26,2025-09-24,3
150,20250708,8,300007,600007,4,5,2142.2,KG,2025-08-03,2025-08-11,26
151,20251230,3,104,600006,6,7,2353.8,KG,2026-02-02,2026-02-05,34
152,20250907,8,300010,205,5,7,6766.0,KG,2025-10-05,2025-10-04,28
153,20250714,11,300001,600007,4,5,815.7,KG,2025-08-12,2025-08-10,29
154,20251006,1,104,204,6,1,23331.1,KG,2025-11-09,2025-11-07,34
155,20250126,6,204,600008,8,8,1412.8,KG,2025-02-03,2025-02-12,8
156,20250826,9,300008,104,4,7,7807.3,KG,2025-09-27,2025-09-27,32
157,20250605,5,204,600009,7,2,3310.6,KG,2025-06-08,2025-06-06,3
158,20251117,5,300009,203,7,2,112.2,LBS,2025-11-22,2025-11-24,5
159,20250328,3,205,103,6,5,2683.0,KG,2025-04-12,2025-04-12,15
160,20251106,4,300002,600007,6,7,119.5,KG,2025-12-10,2025-12-07,34
161,20250722,3,205,600004,1,4,1137.4,KG,2025-07-28,2025-08-02,6
162,20250331,10,300008,600009,8,8,920.5,KG,2025-04-07,2025-04-04,7
163,20251010,10,205,105,4,1,2970.5,KG,2025-11-05,2025-11-02,26
164,20250528,5,300006,201,8,1,3203.8,KG,2025-06-06,2025-06-04,9
165,20250405,1,203,600009,7,2,6807.8,KG,2025-04-08,2025-04-08,3
166,20250103,3,300001,600003,8,1,383.3,KG,2025-01-08,2025-01-08,5
167,20250324,5,102,600005,7,6,3825.4,KG,2025-03-27,2025-03-31,3
168,20250805,5,104,105,6,1,636.0,KG,2025-08-20,2025-08-20,15
169,20250529,1,300001,101,8,8,24683.2,KG,2025-06-08,2025-06-05,10
170,20250129,11,300009,600002,7,2,878.0,KG,2025-02-02,2025-02-02,4
171,20251208,10,300001,600006,8,1,234.0,KG,2025-12-19,2025-12-16,11
172,20250314,8,300006,600009,8,8,5804.7,KG,2025-03-20,2025-03-19,6
173,20250109,9,202,102,8,1,21414.3,KG,2025-01-15,2025-01-15,6
174,20251107,7,300009,104,3,1,15624.6,KG,2025-11-12,2025-11-12,5
175,20250827,9,203,600008,2,2,15581.8,KG,2025-09-02,2025-09-03,6
176,20250913,10,205,600009,8,1,1274.3,KG,2025-09-21,2025-09-30,8
177,20251208,8,102,105,7,2,4572.0,KG,2025-12-12,2025-12-10,4
178,20251224,3,103,600002,6,7,7212.7,KG,2026-01-12,2026-01-09,19
179,20250819,6,205,201,5,1,121.0,KG,2025-09-10,2025-09-08,22
180,20250403,12,205,600003,7,6,1331.0,KG,2025-04-06,2025-04-07,3
181,20251118,5,300009,205,2,1,614.6,KG,2025-11-24,2025-11-23,6
182,20251014,6,104,600006,7,2,2906.5,KG,2025-10-16,2025-10-25,2
183,20250929,4,300004,600003,8,1,4669.1,KG,2025-10-07,2025-10-17,8
184,20250619,3,201,102,6,7,9236.9,KG,2025-07-07,2025-07-06,18
185,20250328,1,300007,201,5,7,6916.8,KG,2025-04-29,2025-04-29,32
186,20250331,10,105,600004,7,6,1965.8,KG,2025-04-03,2025-04-01,3
187,20251010,1,300003,600002,5,7,6344.9,KG,2025-10-28,2025-10-31,18
188,20250806,2,300004,102,1,3,15712.8,KG,2025-08-11,2025-08-09,5
189,20250905,4,204,600004,7,6,4675.6,KG,2025-09-07,2025-09-04,2
190,20250403,9,204,600001,5,5,18818.1,KG,2025-04-19,2025-04-19,16
191,20250918,11,300005,600004,8,8,260.0,KG,2025-09-28,2025-09-26,10
192,20250813,3,201,600001,7,6,7994.6,KG,2025-08-18,2025-08-16,5
193,20250808,3,103,600009,5,5,2131.0,KG,2025-08-24,2025-08-24,16
194,20251113,11,105,101,7,6,1125.5,KG,2025-11-18,2025-11-18,5
195,20250521,10,300007,600005,3,4,1122.3,KG,2025-05-27,2025-05-26,6
196,20250813,5,101,102,4,1,1137.3,KG,2025-09-17,2025-09-14,35
197,20250118,5,203,600004,5,5,4770.9,KG,2025-02-09,2025-02-08,22
198,20250505,7,201,600008,8,8,23475.0,KG,2025-05-15,2025-05-19,10
199,20250423,3,300006,204,5,1,7365.9,KG,2025-05-28,2025-05-25,35
200,20250210,2,105,600004,7,6,24581.7,KG,2025-02-11,2025-02-10,1
201,20251007,6,300004,600004,6,5,2987.5,KG,2025-10-25,2025-10-22,18
202,20250213,2,300001,600003,8,8,18678.5,KG,2025-02-18,2025-02-24,5
203,20250617,4,300010,203,1,1,492.0,KG,2025-06-21,2025-06-20,4
204,20251216,10,300002,201,4,5,3114.1,KG,2026-01-02,2026-01-01,17
205,20251224,3,300008,600006,7,6,5392.9,KG,2025-12-29,2025-12-27,5
206,20250612,4,203,600010,2,7,530.2,KG,2025-06-15,2025-06-13,3
207,20250929,11,203,600001,2,2,856.7,KG,2025-10-05,2025-10-03,6
208,20250122,6,202,600003,7,6,4718.4,KG,2025-01-26,2025-01-25,4
209,20250916,9,300003,600008,7,2,23903.4,KG,2025-09-17,2025-09-17,1
210,20250817,2,300002,600004,8,8,22412.6,KG,2025-08-25,2025-08-22,8
211,20251028,12,204,600010,7,2,1275.6,KG,2025-11-01,2025-10-29,4
212,20250820,1,101,600003,4,7,14809.7,KG,2025-09-08,2025-09-07,19
213,20250908,2,204,205,6,7,10883.6,KG,2025-10-02,2025-09-29,24
214,20250129,1,104,102,8,1,18643.6,KG,2025-02-10,2025-02-10,12
215,20250616,10,300004,600009,7,6,4146.6,KG,2025-06-21,2025-06-21,5
216,20250909,2,102,101,6,1,3502.8,KG,2025-10-01,2025-10-02,22
217,20250723,7,300002,600004,8,8,14963.6,KG,2025-07-29,2025-07-27,6
218,20250318,2,101,202,1,4,9978.1,KG,2025-03-25,2025-03-22,7
219,20250522,8,103,600002,7,6,6480.7,KG,2025-05-24,2025-05-24,2
220,20250404,6,300002,105,4,5,2316.9,KG,2025-05-06,2025-05-06,32
221,20250812,3,300005,600004,4,5,5119.3,KG,2025-09-12,2025-09-15,31
222,20251017,10,201,203,8,1,3197.0,KG,2025-10-22,2025-10-19,5
223,20250430,3,300004,600007,4,7,1693.6,KG,2025-06-04,2025-06-02,35
224,20250815,9,203,103,4,7,18160.8,KG,2025-09-01,2025-09-10,17
225,20251008,5,205,600004,1,4,1452.7,KG,2025-10-12,2025-10-11,4
226,20250531,4,300006,600004,4,7,584.7,KG,2025-07-05,2025-07-02,35
227,20251106,2,300007,600009,8,1,1981.5,KG,2025-11-11,2025-11-14,5
228,20250611,5,202,203,7,6,545.6,KG,2025-06-15,2025-06-14,4
229,20251210,11,300007,600002,7,6,990.3,KG,2025-12-13,2025-12-19,3
230,20251226,7,300007,103,8,1,3807.6,KG,2026-01-04,2026-01-01,9
231,20250502,6,202,600010,5,5,704.9,KG,2025-05-21,2025-05-21,19
232,20251028,12,201,203,5,1,2323.7,KG,2025-11-18,2025-11-15,21
233,20250609,10,103,205,7,2,1436.5,KG,2025-06-11,2025-06-08,2
234,20251231,3,104,205,3,3,8763.5,KG,2026-01-02,2025-12-31,2
235,20251231,8,101,600007,7,6,1821.0,KG,2026-01-02,2025-12-31,2
236,20250508,1,203,600010,2,7,23655.0,KG,2025-05-13,2025-05-10,5
237,20250919,3,300009,104,7,2,4479.9,KG,2025-09-23,2025-09-20,4
238,20250410,10,102,101,4,7,4987.6,KG,2025-05-03,2025-04-30,23
239,20250331,2,103,600005,8,8,3732.0,KG,2025-04-08,2025-04-05,8
240,20251003,8,104,600001,7,2,1745.3,KG,2025-10-05,2025-10-02,2
241,20250805,11,300003,202,7,6,1626.4,KG,2025-08-08,2025-08-06,3
242,20250526,7,103,600010,8,1,6197.4,KG,2025-06-06,2025-06-05,11
243,20251122,1,300006,105,7,2,3946.9,KG,2025-11-26,2025-11-25,4
244,20250529,4,204,205,6,5,2924.0,KG,2025-06-24,2025-06-22,26
245,20250704,2,101,600005,7,6,10045.9,KG,2025-07-05,2025-07-03,1
246,20250317,5,103,202,7,2,2108.1,KG,2025-03-22,2025-03-30,5
247,20250305,9,300003,205,4,1,612.1,KG,2025-04-03,2025-04-03,29
248,20250730,8,300005,600002,7,6,1119.8,KG,2025-08-02,2025-07-31,3
249,20251017,3,202,204,5,5,701.2,KG,2025-11-19,2025-11-19,33
250,20251225,12,204,203,7,6,2385.8,KG,2025-12-29,2025-12-28,4
251,20250707,9,203,102,1,2,8092.2,KG,2025-07-11,2025-07-10,4
252,20250809,9,300009,600006,5,5,11663.3,KG,2025-08-31,2025-08-28,22
253,20250808,10,203,600001,7,6,4098.8,KG,2025-08-13,2025-08-10,5
254,20250305,2,300002,600003,7,2,4444.3,KG,2025-03-09,2025-03-08,4
255,20250924,6,300007,600001,8,1,2048.0,KG,2025-09-29,2025-10-09,5
256,20250826,8,201,600004,7,6,6971.5,KG,2025-08-29,2025-08-27,3
257,20250214,8,104,101,4,7,8492.4,KG,2025-03-17,2025-03-14,31
258,20250128,5,300010,600005,2,4,4778.1,KG,2025-02-04,2025-02-03,7
259,20251230,10,300006,101,3,3,332.5,KG,2026-01-04,2026-01-14,5
260,20250411,7,102,600006,5,7,7637.5,KG,2025-05-12,2025-05-10,31
261,20250303,12,105,205,4,7,2344.3,KG,2025-03-24,2025-03-23,21
262,20250224,7,300004,105,7,6,21522.9,KG,2025-02-28,2025-02-27,4
263,20251212,10,102,201,7,2,1502.7,KG,2025-12-15,2025-12-15,3
264,20250707,10,105,205,8,8,3167.1,KG,2025-07-12,2025-07-09,5
265,20250326,3,205,600010,8,8,6498.0,KG,2025-03-31,2025-03-30,5
266,20250729,12,203,600001,1,4,2318.4,KG,2025-08-02,2025-08-12,4
267,20250209,11,101,600006,8,1,1061.9,KG,2025-02-20,2025-02-19,11
268,20250324,9,300001,102,6,5,4346.5,KG,2025-04-21,2025-04-21,28
269,20250409,6,204,202,7,2,4505.0,KG,2025-04-12,2025-04-12,3
270,20251221,11,105,600005,8,1,1921.2,KG,2025-12-26,2025-12-26,5
271,20250413,11,300001,600005,8,1,425.6,KG,2025-04-19,2025-04-29,6
272,20250716,5,300006,600007,8,1,2386.7,KG,2025-07-23,2025-07-22,7
273,20250530,10,101,202,3,4,4384.3,KG,2025-06-02,2025-06-01,3
274,20251126,3,300003,105,2,4,8177.4,KG,2025-12-01,2025-12-10,5
275,20250521,8,300003,600007,8,8,8853.3,KG,2025-05-28,2025-05-26,7
276,20250217,6,300008,101,5,5,3712.3,KG,2025-03-06,2025-03-04,17
277,20250618,8,300008,203,8,8,2464.3,KG,2025-06-30,2025-06-27,12
278,20251009,3,300008,600002,4,7,5770.9,KG,2025-11-12,2025-11-10,34
279,20251215,2,205,201,7,6,15989.8,KG,2025-12-20,2025-12-19,5
280,20250617,8,205,201,6,1,756.2,KG,2025-07-10,2025-07-10,23
281,20251211,1,300005,204,8,1,13172.2,KG,2025-12-17,2025-12-15,6
282,20251103,12,201,600009,7,6,2851.4,KG,2025-11-05,2025-11-03,2
283,20250513,2,105,600001,4,7,8192.3,KG,2025-06-12,2025-06-11,30
284,20251005,3,300010,101,8,1,3755.0,KG,2025-10-15,2025-10-17,10
285,20250120,3,300005,600010,7,2,2698.3,KG,2025-01-21,2025-01-24,1
286,20251029,8,300003,104,6,7,5733.0,KG,2025-11-27,2025-11-29,29
287,20251030,8,202,101,7,6,7529.5,KG,2025-11-02,2025-11-01,3
288,20251209,6,300005,600007,3,1,2952.9,KG,2025-12-15,2025-12-12,6
289,20250529,11,300009,105,8,1,992.8,KG,2025-06-05,2025-06-04,7
290,20251119,5,103,201,7,2,1567.5,KG,2025-11-24,2025-11-23,5
291,20250414,7,201,205,7,2,513.0,KG,2025-04-19,2025-04-16,5
292,20250411,4,202,205,8,8,4013.5,KG,2025-04-23,2025-04-23,12
293,20250721,11,203,600001,2,4,877.8,KG,2025-07-28,2025-07-26,7
294,20250814,6,300009,600004,3,4,121.5,KG,2025-08-18,2025-08-15,4
295,20251003,4,300003,600007,2,3,789.4,KG,2025-10-06,2025-10-07,3
296,20251023,8,300002,103,7,2,3673.5,KG,2025-10-25,2025-10-22,2
297,20250113,2,300006,600009,8,1,20432.6,KG,2025-01-20,2025-01-17,7
298,20250406,1,105,103,8,1,12477.1,KG,2025-04-14,2025-04-13,8
299,20250908,3,300003,204,1,1,5481.2,KG,2025-09-14,2025-09-24,6
300,20250821,1,201,600004,8,8,898.8,KG,2025-08-29,2025-08-29,8
301,20250918,6,300004,600006,7,6,1349.5,KG,2025-09-19,2025-09-17,1
302,20250924,9,105,600003,2,3,22245.8,KG,2025-09-30,2025-09-30,6
303,20250326,7,201,600001,8,1,5093.3,KG,2025-03-31,2025-04-01,5
304,20250424,9,102,203,3,4,6977.4,KG,2025-04-30,2025-04-27,6
305,20251227,1,201,600006,2,4,24894.3,KG,2026-01-01,2025-12-30,5
306,20250604,8,300006,204,6,5,4101.9,KG,2025-07-08,2025-07-07,34
307,20250513,3,300008,600004,7,2,3272.5,KG,2025-05-17,2025-05-17,4
308,20250901,4,101,203,5,7,617.3,KG,2025-09-16,2025-09-16,15
309,20250221,10,300008,600005,7,6,2549.6,KG,2025-02-22,2025-02-19,1
310,20250530,3,300008,600006,7,6,7213.1,KG,2025-06-03,2025-05-31,4
311,20250606,5,101,102,7,2,4587.2,KG,2025-06-11,2025-06-11,5
312,20250722,9,103,104,7,6,21341.0,KG,2025-07-23,2025-07-25,1
313,20250114,1,105,600009,6,1,16005.3,KG,2025-02-10,2025-02-07,27
314,20251024,8,300009,600006,6,7,589.7,KG,2025-11-19,2025-11-21,26
315,20250227,2,300008,201,5,1,9235.1,KG,2025-03-20,2025-03-19,21
316,20250912,5,101,104,4,5,724.9,KG,2025-10-12,2025-10-09,30
317,20251106,5,300010,204,7,2,4770.7,KG,2025-11-08,2025-11-06,2
318,20250918,5,204,205,7,6,1630.3,KG,2025-09-21,2025-09-20,3
319,20250414,3,300009,104,2,7,1838.0,KG,2025-04-18,2025-04-16,4
320,20250530,6,203,600004,7,2,3345.9,KG,2025-06-02,2025-06-02,3
321,20251121,7,300009,201,4,7,3471.4,KG,2025-12-18,2025-12-20,27
322,20250117,8,202,600008,8,1,4378.1,KG,2025-01-29,2025-01-29,12
323,20250813,1,201,600001,7,6,8689.8,KG,2025-08-17,2025-08-14,4
324,20250129,8,203,600006,8,1,2050.1,KG,2025-02-06,2025-02-11,8
325,20250909,1,105,600010,4,5,22247.8,KG,2025-10-01,2025-09-30,22
326,20250613,6,102,105,7,6,4934.6,KG,2025-06-14,2025-06-13,1
327,20250903,3,103,600009,6,7,6536.5,KG,2025-10-04,2025-10-03,31
328,20250303,10,300005,600009,6,7,4506.4,KG,2025-03-28,2025-03-27,25
329,20250818,7,104,600009,7,2,16806.5,KG,2025-08-23,2025-08-21,5
330,20250707,6,104,201,7,2,607.0,KG,2025-07-08,2025-07-06,1
331,20250724,9,101,203,7,6,11913.5,KG,2025-07-26,2025-07-23,2
332,20250717,11,300009,102,7,2,1261.9,KG,2025-07-18,2025-07-26,1
333,20250809,10,204,600004,7,2,504.5,KG,2025-08-10,2025-08-08,1
334,20251208,1,300004,600001,3,7,21584.5,KG,2025-12-10,2025-12-08,2
335,20250214,1,300002,202,6,5,9553.0,KG,2025-03-14,2025-03-13,28
336,20250915,12,300008,103,3,7,1599.1,KG,2025-09-22,2025-09-19,7
337,20250214,7,300009,204,8,8,4905.1,KG,2025-02-25,2025-02-25,11
338,20251015,11,105,102,4,1,1119.8,KG,2025-11-05,2025-11-05,21
339,20250421,11,300005,105,8,8,1766.9,KG,2025-04-27,2025-04-26,6
